id,label,label_folder,cluster_id,is_dedup_rep,fold_full,fold_dedup,gpt_pred,claude_pred,gemini_pred,clip_zs_b32_piog,clip_zs_b32_pred,clip_zs_l14_piog,clip_zs_l14_pred,phash,md5
img_00001,1,1,447,1,3,2,1,1,1,0.9880484938621521,1,0.9889407753944397,1,c6d93836336261cf,525e37c236269b7c4503bad70dc1932e
img_00002,1,1,434,1,0,2,1,1,1,0.8982645869255066,1,0.9406485557556152,1,8ac17834f647cd5c,f6d287f1128bf4963ae5f76a7bc49b03
img_00003,1,1,472,1,2,0,0,1,0,0.44641271233558655,0,0.4368988871574402,0,9999666666733171,d382588e574419e6d20131da36ebcc31
img_00004,1,1,472,0,2,-1,0,1,0,0.44641271233558655,0,0.4368988871574402,0,9999666666733171,d382588e574419e6d20131da36ebcc31
img_00005,1,1,0,1,4,3,0,0,0,0.12473661452531815,0,0.03406796231865883,0,ae12423e3364d3bd,352ba356d858090f5ea9980b6ba33a26
img_00006,1,1,472,0,2,-1,1,1,1,0.4471556842327118,0,0.3927761912345886,0,9999666666733171,121dfd8f27cff5e95b22bb5f87ce4faf
img_00007,1,1,1,1,1,3,1,1,1,0.9612979292869568,1,0.9899035692214966,1,88b3e6f626266666,b5f5662800cee256d7cf02d5504ddb0e
img_00008,1,1,2,1,3,1,1,1,1,0.3018586337566376,0,0.2263297587633133,0,846b936bc12ecb33,9c82782f0efe1cfcd146a503d45f3053
img_00009,1,1,23,1,4,4,1,1,1,0.3829312026500702,0,0.101687490940094,0,bff1c00637f9d820,cf18d5239aa05192b05a45d2464eea72
img_00010,1,1,3,1,2,1,1,1,1,0.7327898144721985,1,0.3373655676841736,0,bec1d0181fe4a7b1,8c718b244cf4ff9d4f22a1b979071319
img_00011,1,1,4,1,0,3,0,0,0,0.28222787380218506,0,0.18184705078601837,0,8acccccccccccecc,bd94e8b8f117c0067ab879c43ff17354
img_00012,1,1,472,0,2,-1,1,1,1,0.479665070772171,0,0.36931994557380676,0,99d9666666733131,52f5c0cc6cc298476c1aaa84eae95ce0
img_00013,1,1,5,1,1,4,0,0,0,0.23892146348953247,0,0.195882648229599,0,b4346261659e9b9b,2c7605a40152aa5cfa098ff262690a69
img_00014,1,1,472,0,2,-1,1,1,1,0.46197381615638733,0,0.3662673532962799,0,99d9666666733131,300339f7629c75bd8ba874e11b9d2f02
img_00015,1,1,472,0,2,-1,1,1,1,0.46197381615638733,0,0.3662673532962799,0,99d9666666733131,300339f7629c75bd8ba874e11b9d2f02
img_00016,1,1,472,0,2,-1,1,1,1,0.46197381615638733,0,0.3662673532962799,0,99d9666666733131,300339f7629c75bd8ba874e11b9d2f02
img_00017,1,1,472,0,2,-1,1,1,1,0.46197381615638733,0,0.3662673532962799,0,99d9666666733131,300339f7629c75bd8ba874e11b9d2f02
img_00018,1,1,472,0,2,-1,1,1,1,0.46197381615638733,0,0.3662673532962799,0,99d9666666733131,300339f7629c75bd8ba874e11b9d2f02
img_00019,1,1,187,1,4,4,1,1,1,0.26453089714050293,0,0.08332498371601105,0,f8978776096896c9,ae0f85803e7f1b0b1a25e5dd8bcd769c
img_00020,1,1,187,0,4,-1,1,1,1,0.26453089714050293,0,0.08332498371601105,0,f8978776096896c9,ae0f85803e7f1b0b1a25e5dd8bcd769c
img_00021,1,1,187,0,4,-1,1,1,1,0.26453089714050293,0,0.08332498371601105,0,f8978776096896c9,ae0f85803e7f1b0b1a25e5dd8bcd769c
img_00022,1,1,187,0,4,-1,1,1,1,0.26453089714050293,0,0.08332498371601105,0,f8978776096896c9,ae0f85803e7f1b0b1a25e5dd8bcd769c
img_00023,1,1,187,0,4,-1,1,1,1,0.26453089714050293,0,0.08332498371601105,0,f8978776096896c9,ae0f85803e7f1b0b1a25e5dd8bcd769c
img_00024,1,1,6,1,0,1,1,1,1,0.32930999994277954,0,0.1473449021577835,0,edc55a9a926b914a,164f3c2fa20cbbd10ad26c7efd3ee5e7
img_00025,1,1,347,1,1,0,1,1,1,0.9929171800613403,1,0.9741418361663818,1,dbdf0c1896e56918,8b95c0e7d2cf89c601fb6499f13575d2
img_00026,1,1,455,1,3,2,1,1,1,0.20294255018234253,0,0.18903233110904694,0,8833cc336c7173ec,fe69ac2b3a0f4763bc0f3bcd6a11e458
img_00027,1,1,496,1,0,4,0,0,0,0.12852342426776886,0,0.06202351301908493,0,9b4b0e1bbbace490,dfbd590807231edf7fe5fe9c6900e28e
img_00028,1,1,537,1,3,1,0,0,0,0.13704924285411835,0,0.08354012668132782,0,b333999933339989,f388691bcf4df73c6fdf1326716d015d
img_00029,1,1,295,1,1,0,1,1,1,0.6378934383392334,1,0.2904180586338043,0,ef94d0c49a638b8b,2d07fd9da58001bd08871449faa68f41
img_00030,1,1,24,1,4,2,0,1,0,0.26502472162246704,0,0.2960644066333771,0,e3368c63d99c6664,77326f87c2653ed9c398c1eea70c64cf
img_00031,1,1,455,0,3,-1,0,1,1,0.35177674889564514,0,0.22320769727230072,0,88336c33cc7373cc,4ed701763afc6d8370ced250b7e85da0
img_00032,1,1,7,1,1,0,1,1,1,0.4875856935977936,0,0.14607438445091248,0,8edaa4c3e4c4b6a9,e07806a684420e9c242e30e192dcf9aa
img_00033,1,1,455,0,3,-1,0,1,1,0.35177627205848694,0,0.22320833802223206,0,88336c33cc7373cc,4ed701763afc6d8370ced250b7e85da0
img_00034,1,1,8,1,3,4,1,1,1,0.9531143307685852,1,0.9892246127128601,1,90e4a931696edf16,b3afe6b8c571faf2420fff8c88f56f28
img_00035,1,1,12,1,0,0,1,1,1,0.3493332862854004,0,0.1991375982761383,0,ebb594c269859e4a,49da8a319d55da054a4ee9f17d8ab56e
img_00036,1,1,22,1,4,0,1,1,1,0.5535288453102112,1,0.8663205504417419,1,b3c61e3969e14a1d,12f8272dff53b897200542f8d9fd2a51
img_00037,1,1,455,0,3,-1,0,1,1,0.35177627205848694,0,0.22320833802223206,0,88336c33cc7373cc,4ed701763afc6d8370ced250b7e85da0
img_00038,1,1,455,0,3,-1,0,1,1,0.35177627205848694,0,0.22320833802223206,0,88336c33cc7373cc,4ed701763afc6d8370ced250b7e85da0
img_00039,1,1,434,0,0,-1,1,1,1,0.9095274209976196,1,0.9413709044456482,1,8ac17834f647cd5c,d581a71a1fae376439cd9ac0056e63f5
img_00040,1,1,22,0,4,-1,1,1,1,0.5535288453102112,1,0.8663205504417419,1,b3c61e3969e14a1d,12f8272dff53b897200542f8d9fd2a51
img_00041,1,1,438,1,0,1,1,1,1,0.4513095021247864,0,0.13437606394290924,0,90e0b46b6969e99e,b05a1ebb3e39dfb7dddf377b699f0e09
img_00042,1,1,9,1,4,1,1,1,1,0.39499014616012573,0,0.23371455073356628,0,806e6fd92fd02ed0,88255bda117d8e6f55d26441682343cf
img_00043,1,1,429,1,4,0,0,1,0,0.23554153740406036,0,0.06987149268388748,0,b3338ccccc663399,a29fdb6866c3f5f780546bf9927ffc3f
img_00044,1,1,429,0,4,-1,0,1,0,0.23304365575313568,0,0.10212022811174393,0,b3338ccccccc3333,b7db51a9c73d52f605fc0644f20d1128
img_00045,1,1,23,0,4,-1,1,1,1,0.3829312026500702,0,0.101687490940094,0,bff1c00637f9d820,cf18d5239aa05192b05a45d2464eea72
img_00046,1,1,10,1,0,2,0,0,0,0.13241417706012726,0,0.012549422681331635,0,8272cf99b997c48a,a0e20da02c97092bab7bf19d95bac355
img_00047,1,1,434,0,0,-1,1,1,1,0.910761296749115,1,0.9496303200721741,1,8ac17836f647cd1c,a61c63e9360d6eb851c5285cf0844a4d
img_00048,1,1,472,0,2,-1,1,1,0,0.479665070772171,0,0.36931994557380676,0,99d9666666733131,52f5c0cc6cc298476c1aaa84eae95ce0
img_00049,1,1,23,0,4,-1,1,1,1,0.3829312026500702,0,0.101687490940094,0,bff1c00637f9d820,cf18d5239aa05192b05a45d2464eea72
img_00050,1,1,11,1,0,0,0,1,0,0.2297741323709488,0,0.14903481304645538,0,af37d04cc06c783b,f4eb3b977c38c6fd80213cdf0a67c127
img_00051,1,1,22,0,4,-1,1,1,1,0.5535288453102112,1,0.8663205504417419,1,b3c61e3969e14a1d,12f8272dff53b897200542f8d9fd2a51
img_00052,1,1,12,0,0,-1,1,1,1,0.28877705335617065,0,0.2059660404920578,0,ebb496c269c59e48,7e4608c43a7144ad9c02b24ba13baafc
img_00053,1,1,22,0,4,-1,1,1,1,0.5535288453102112,1,0.8663205504417419,1,b3c61e3969e14a1d,12f8272dff53b897200542f8d9fd2a51
img_00054,1,1,13,1,4,0,1,1,1,0.9143367409706116,1,0.8521374464035034,1,be80437f447ad3e0,e1e4ea1c3fcce3da08005da3a109f508
img_00055,1,1,472,0,2,-1,1,1,1,0.4471556842327118,0,0.3927761912345886,0,9999666666733171,121dfd8f27cff5e95b22bb5f87ce4faf
img_00056,1,1,14,1,4,4,1,1,1,0.5618412494659424,1,0.2757124900817871,0,bf1d6290e2c196cb,d3ae183bd302687fed8f6439681549f3
img_00057,1,1,15,1,3,0,1,1,1,0.4504590332508087,0,0.2971861958503723,0,eb9492e1944b3c9e,11bf0d30d1558399d741a09b03e5833f
img_00058,1,1,16,1,3,0,0,0,0,0.22208793461322784,0,0.2202795445919037,0,c7cf983073369899,b2d464260dc3b86b675fe9787993c6ce
img_00059,1,1,22,0,4,-1,1,1,1,0.5535288453102112,1,0.8663205504417419,1,b3c61e3969e14a1d,12f8272dff53b897200542f8d9fd2a51
img_00060,1,1,17,1,3,2,1,1,1,0.7870873212814331,1,0.27779313921928406,0,bfd0641f8e2cc1e1,c28e894c4fadba4c02b1744925bde39b
img_00061,1,1,23,0,4,-1,1,1,1,0.3829312026500702,0,0.101687490940094,0,bff1c00637f9d820,cf18d5239aa05192b05a45d2464eea72
img_00062,1,1,485,1,1,1,1,1,1,0.7130711674690247,1,0.3508951961994171,0,aec495918f9c606f,2f6c21688e8a0d91314829343f4013d1
img_00063,1,1,18,1,2,3,1,1,1,0.959621787071228,1,0.889988124370575,1,946ac86a629d363f,7a72b086c47616d999990d8cf367b65f
img_00064,1,1,315,1,2,0,1,1,1,0.29784953594207764,0,0.040876585990190506,0,daa5445a310ed77a,70c4df2ccda1f41ae818bae90edb3d45
img_00065,1,1,103,1,2,4,0,0,0,0.08876673877239227,0,0.5648670196533203,1,e992c4c6369ace96,007fc5ae153f96181b3cf3b9e7ea2381
